:======================================================================:
|     Appendix A List of MS-DRGs Version 36.0     |
:======================================================================:

Appendix A contains a list of each MS-DRG with a specification of the
MDC and whether the MS-DRG is medical or surgical. Some MS-DRGs which
contain patients from multiple MDCs (e.g., 014 Allogeneic Bone Marrow Transplant)
do not have an MDC specified. The letter M is used to designate a medical
MS-DRG and the letter P is used to designate a surgical MS-DRG.

DRG MDC MS Description
001     P  HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM WITH MCC
002     P  HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM WITHOUT MCC
003     P  ECMO OR TRACHEOSTOMY WITH MV >96 HOURS OR PDX EXCEPT FACE, MOUTH AND NECK WITH MAJOR O.R. PROCEDURE
004     P  TRACHEOSTOMY WITH MV >96 HOURS OR PDX EXCEPT FACE, MOUTH AND NECK WITHOUT MAJOR O.R. PROCEDURE
005     P  LIVER TRANSPLANT WITH MCC OR INTESTINAL TRANSPLANT
006     P  LIVER TRANSPLANT WITHOUT MCC
007     P  LUNG TRANSPLANT
008     P  SIMULTANEOUS PANCREAS AND KIDNEY TRANSPLANT
010     P  PANCREAS TRANSPLANT
011     P  TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES OR LARYNGECTOMY WITH MCC
012     P  TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES OR LARYNGECTOMY WITH CC
013     P  TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES OR LARYNGECTOMY WITHOUT CC/MCC
014     P  ALLOGENEIC BONE MARROW TRANSPLANT
016     P  AUTOLOGOUS BONE MARROW TRANSPLANT WITH CC/MCC OR T-CELL IMMUNOTHERAPY
017     P  AUTOLOGOUS BONE MARROW TRANSPLANT WITHOUT CC/MCC
020 01  P  INTRACRANIAL VASCULAR PROCEDURES WITH PDX HEMORRHAGE WITH MCC
021 01  P  INTRACRANIAL VASCULAR PROCEDURES WITH PDX HEMORRHAGE WITH CC
022 01  P  INTRACRANIAL VASCULAR PROCEDURES WITH PDX HEMORRHAGE WITHOUT CC/MCC
023 01  P  CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PDX WITH MCC OR CHEMOTHERAPY IMPLANT OR EPILEPSY WITH NEUROSTIMULATOR
024 01  P  CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PDX WITHOUT MCC
025 01  P  CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH MCC
026 01  P  CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH CC
027 01  P  CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITHOUT CC/MCC
028 01  P  SPINAL PROCEDURES WITH MCC
029 01  P  SPINAL PROCEDURES WITH CC OR SPINAL NEUROSTIMULATORS
030 01  P  SPINAL PROCEDURES WITHOUT CC/MCC
031 01  P  VENTRICULAR SHUNT PROCEDURES WITH MCC
032 01  P  VENTRICULAR SHUNT PROCEDURES WITH CC
033 01  P  VENTRICULAR SHUNT PROCEDURES WITHOUT CC/MCC
034 01  P  CAROTID ARTERY STENT PROCEDURE WITH MCC
