=================================================================================
MDC 08 Diseases and Disorders of the Musculoskeletal System and Connective Tissue
=================================================================================

MDC 08 Assignment of Diagnosis Codes

  A0223   Salmonella arthritis
  A0224   Salmonella osteomyelitis
  A1801   Tuberculosis of spine
  A1802   Tuberculous arthritis of other joints
  A1803   Tuberculosis of other bones
  A1809   Other musculoskeletal tuberculosis
  A3983   Meningococcal arthritis
  A3984   Postmeningococcal arthritis
  A5146   Secondary syphilitic osteopathy
  A5277   Syphilis of bone and joint
  A5278   Syphilis of other musculoskeletal tissue
  A5440   Gonococcal infection of musculoskeletal system, unspecified
  A5441   Gonococcal spondylopathy
  A5442   Gonococcal arthritis
  A5443   Gonococcal osteomyelitis
  A5449   Gonococcal infection of other musculoskeletal tissue
  A666    Bone and joint lesions of yaws
  B0682   Rubella arthritis
  B902    Sequelae of tuberculosis of bones and joints
  C4000   Malignant neoplasm of scapula and long bones of unspecified upper limb
  C4001   Malignant neoplasm of scapula and long bones of right upper limb
  C4002   Malignant neoplasm of scapula and long bones of left upper limb
  C4010   Malignant neoplasm of short bones of unspecified upper limb
  C4011   Malignant neoplasm of short bones of right upper limb
  C4012   Malignant neoplasm of short bones of left upper limb
  C4020   Malignant neoplasm of long bones of unspecified lower limb
  C4021   Malignant neoplasm of long bones of right lower limb
  C4022   Malignant neoplasm of long bones of left lower limb
  C4030   Malignant neoplasm of short bones of unspecified lower limb
  C4031   Malignant neoplasm of short bones of right lower limb
  C4032   Malignant neoplasm of short bones of left lower limb
  C4080   Malignant neoplasm of overlapping sites of bone and articular cartilage of unspecified limb
  C4081   Malignant neoplasm of overlapping sites of bone and articular cartilage of right limb
  C4082   Malignant neoplasm of overlapping sites of bone and articular cartilage of left limb
  C4090   Malignant neoplasm of unspecified bones and articular cartilage of unspecified limb
  C4091   Malignant neoplasm of unspecified bones and articular cartilage of right limb
  C4092   Malignant neoplasm of unspecified bones and articular cartilage of left limb
  C410    Malignant neoplasm of bones of skull and face
  C411    Malignant neoplasm of mandible
  C412    Malignant neoplasm of vertebral column
  C413    Malignant neoplasm of ribs, sternum and clavicle
  C414    Malignant neoplasm of pelvic bones, sacrum and coccyx
  C419    Malignant neoplasm of bone and articular cartilage, unspecified
  C470    Malignant neoplasm of peripheral nerves of head, face and neck
  C4710   Malignant neoplasm of peripheral nerves of unspecified upper limb, including shoulder
  C4711   Malignant neoplasm of peripheral nerves of right upper limb, including shoulder
  C4712   Malignant neoplasm of peripheral nerves of left upper limb, including shoulder
  C4720   Malignant neoplasm of peripheral nerves of unspecified lower limb, including hip
  C4721   Malignant neoplasm of peripheral nerves of right lower limb, including hip
  C4722   Malignant neoplasm of peripheral nerves of left lower limb, including hip
  C473    Malignant neoplasm of peripheral nerves of thorax
  C474    Malignant neoplasm of peripheral nerves of abdomen
  C475    Malignant neoplasm of peripheral nerves of pelvis
  C476    Malignant neoplasm of peripheral nerves of trunk, unspecified
  C478    Malignant neoplasm of overlapping sites of peripheral nerves and autonomic nervous system
  C479    Malignant neoplasm of peripheral nerves and autonomic nervous system, unspecified
  C490    Malignant neoplasm of connective and soft tissue of head, face and neck
  C4910   Malignant neoplasm of connective and soft tissue of unspecified upper limb, including shoulder
  C4911   Malignant neoplasm of connective and soft tissue of right upper limb, including shoulder
  C4912   Malignant neoplasm of connective and soft tissue of left upper limb, including shoulder
  C4920   Malignant neoplasm of connective and soft tissue of unspecified lower limb, including hip
  C4921   Malignant neoplasm of connective and soft tissue of right lower limb, including hip
  C4922   Malignant neoplasm of connective and soft tissue of left lower limb, including hip
  C493    Malignant neoplasm of connective and soft tissue of thorax
  C494    Malignant neoplasm of connective and soft tissue of abdomen
  C495    Malignant neoplasm of connective and soft tissue of pelvis
  C496    Malignant neoplasm of connective and soft tissue of trunk, unspecified
  C498    Malignant neoplasm of overlapping sites of connective and soft tissue
  C499    Malignant neoplasm of connective and soft tissue, unspecified
  C7951   Secondary malignant neoplasm of bone
  C7952   Secondary malignant neoplasm of bone marrow
  C7B03   Secondary carcinoid tumors of bone
  D1600   Benign neoplasm of scapula and long bones of unspecified upper limb
  D1601   Benign neoplasm of scapula and long bones of right upper limb
  D1602   Benign neoplasm of scapula and long bones of left upper limb
  D1610   Benign neoplasm of short bones of unspecified upper limb
  D1611   Benign neoplasm of short bones of right upper limb
  D1612   Benign neoplasm of short bones of left upper limb
  D1620   Benign neoplasm of long bones of unspecified lower limb
  D1621   Benign neoplasm of long bones of right lower limb
  D1622   Benign neoplasm of long bones of left lower limb
  D1630   Benign neoplasm of short bones of unspecified lower limb
  D1631   Benign neoplasm of short bones of right lower limb
  D1632   Benign neoplasm of short bones of left lower limb
  D164    Benign neoplasm of bones of skull and face
  D166    Benign neoplasm of vertebral column
  D168    Benign neoplasm of pelvic bones, sacrum and coccyx
  D169    Benign neoplasm of bone and articular cartilage, unspecified
  D210    Benign neoplasm of connective and other soft tissue of head, face and neck
  D2110   Benign neoplasm of connective and other soft tissue of unspecified upper limb, including shoulder
  D2111   Benign neoplasm of connective and other soft tissue of right upper limb, including shoulder
  D2112   Benign neoplasm of connective and other soft tissue of left upper limb, including shoulder
  D2120   Benign neoplasm of connective and other soft tissue of unspecified lower limb, including hip
  D2121   Benign neoplasm of connective and other soft tissue of right lower limb, including hip
  D2122   Benign neoplasm of connective and other soft tissue of left lower limb, including hip
  D213    Benign neoplasm of connective and other soft tissue of thorax
  D214    Benign neoplasm of connective and other soft tissue of abdomen
  D215    Benign neoplasm of connective and other soft tissue of pelvis
  D216    Benign neoplasm of connective and other soft tissue of trunk, unspecified
  D219    Benign neoplasm of connective and other soft tissue, unspecified
  D3610   Benign neoplasm of peripheral nerves and autonomic nervous system, unspecified
  D3611   Benign neoplasm of peripheral nerves and autonomic nervous system of face, head, and neck
  D3612   Benign neoplasm of peripheral nerves and autonomic nervous system, upper limb, including shoulder
  D3613   Benign neoplasm of peripheral nerves and autonomic nervous system of lower limb, including hip
  D3614   Benign neoplasm of peripheral nerves and autonomic nervous system of thorax
  D3615   Benign neoplasm of peripheral nerves and autonomic nervous system of abdomen
  D3616   Benign neoplasm of peripheral nerves and autonomic nervous system of pelvis
  D3617   Benign neoplasm of peripheral nerves and autonomic nervous system of trunk, unspecified
  D480    Neoplasm of uncertain behavior of bone and articular cartilage
  D48110  Desmoid tumor of head and neck
  D48111  Desmoid tumor of chest wall
  D48112  Desmoid tumor, intrathoracic
  D48113  Desmoid tumor of abdominal wall
  D48114  Desmoid tumor, intraabdominal
  D48115  Desmoid tumor of upper extremity and shoulder girdle
  D48116  Desmoid tumor of lower extremity and pelvic girdle
  D48117  Desmoid tumor of back
  D48118  Desmoid tumor of other site
  D48119  Desmoid tumor of unspecified site
  D4819   Other specified neoplasm of uncertain behavior of connective and other soft tissue
  D482    Neoplasm of uncertain behavior of peripheral nerves and autonomic nervous system
  D492    Neoplasm of unspecified behavior of bone, soft tissue, and skin
  D8982   Autoimmune lymphoproliferative syndrome [ALPS]
  E550    Rickets, active
  E643    Sequelae of rickets
  E7871   Barth syndrome
  E7872   Smith-Lemli-Opitz syndrome
  E850    Non-neuropathic heredofamilial amyloidosis
  E851    Neuropathic heredofamilial amyloidosis
  E852    Heredofamilial amyloidosis, unspecified
  E853    Secondary systemic amyloidosis
  E854    Organ-limited amyloidosis
  E8581   Light chain (AL) amyloidosis
  E8582   Wild-type transthyretin-related (ATTR) amyloidosis
  E8589   Other amyloidosis
  E859    Amyloidosis, unspecified
  G7241   Inclusion body myositis [IBM]
  G7249   Other inflammatory and immune myopathies, not elsewhere classified
  H61011  Acute perichondritis of right external ear
  H61012  Acute perichondritis of left external ear
  H61013  Acute perichondritis of external ear, bilateral
  H61019  Acute perichondritis of external ear, unspecified ear
  H61021  Chronic perichondritis of right external ear
  H61022  Chronic perichondritis of left external ear
  H61023  Chronic perichondritis of external ear, bilateral
  H61029  Chronic perichondritis of external ear, unspecified ear
  H61031  Chondritis of right external ear
  H61032  Chondritis of left external ear
  H61033  Chondritis of external ear, bilateral
  H61039  Chondritis of external ear, unspecified ear
  I00     Rheumatic fever without heart involvement
  I7300   Raynaud's syndrome without gangrene
  I7301   Raynaud's syndrome with gangrene
  I776    Arteritis, unspecified
  L4050   Arthropathic psoriasis, unspecified
  L4051   Distal interphalangeal psoriatic arthropathy
  L4052   Psoriatic arthritis mutilans
  L4053   Psoriatic spondylitis
  L4054   Psoriatic juvenile arthropathy
  L4059   Other psoriatic arthropathy
  M0000   Staphylococcal arthritis, unspecified joint
  M00011  Staphylococcal arthritis, right shoulder
  M00012  Staphylococcal arthritis, left shoulder
  M00019  Staphylococcal arthritis, unspecified shoulder
  M00021  Staphylococcal arthritis, right elbow
  M00022  Staphylococcal arthritis, left elbow
  M00029  Staphylococcal arthritis, unspecified elbow
  M00031  Staphylococcal arthritis, right wrist
  M00032  Staphylococcal arthritis, left wrist
  M00039  Staphylococcal arthritis, unspecified wrist
  M00041  Staphylococcal arthritis, right hand
  M00042  Staphylococcal arthritis, left hand
  M00049  Staphylococcal arthritis, unspecified hand
  M00051  Staphylococcal arthritis, right hip
  M00052  Staphylococcal arthritis, left hip
  M00059  Staphylococcal arthritis, unspecified hip
  M00061  Staphylococcal arthritis, right knee
  M00062  Staphylococcal arthritis, left knee
  M00069  Staphylococcal arthritis, unspecified knee
  M00071  Staphylococcal arthritis, right ankle and foot
  M00072  Staphylococcal arthritis, left ankle and foot
  M00079  Staphylococcal arthritis, unspecified ankle and foot
  M0008   Staphylococcal arthritis, vertebrae
  M0009   Staphylococcal polyarthritis
  M0010   Pneumococcal arthritis, unspecified joint
  M00111  Pneumococcal arthritis, right shoulder
  M00112  Pneumococcal arthritis, left shoulder
  M00119  Pneumococcal arthritis, unspecified shoulder
  M00121  Pneumococcal arthritis, right elbow
  M00122  Pneumococcal arthritis, left elbow
  M00129  Pneumococcal arthritis, unspecified elbow
  M00131  Pneumococcal arthritis, right wrist
  M00132  Pneumococcal arthritis, left wrist
  M00139  Pneumococcal arthritis, unspecified wrist
  M00141  Pneumococcal arthritis, right hand
  M00142  Pneumococcal arthritis, left hand
  M00149  Pneumococcal arthritis, unspecified hand
  M00151  Pneumococcal arthritis, right hip
  M00152  Pneumococcal arthritis, left hip
  M00159  Pneumococcal arthritis, unspecified hip
  M00161  Pneumococcal arthritis, right knee
  M00162  Pneumococcal arthritis, left knee
  M00169  Pneumococcal arthritis, unspecified knee
  M00171  Pneumococcal arthritis, right ankle and foot
  M00172  Pneumococcal arthritis, left ankle and foot
  M00179  Pneumococcal arthritis, unspecified ankle and foot
  M0018   Pneumococcal arthritis, vertebrae
  M0019   Pneumococcal polyarthritis
  M0020   Other streptococcal arthritis, unspecified joint
  M00211  Other streptococcal arthritis, right shoulder
  M00212  Other streptococcal arthritis, left shoulder
  M00219  Other streptococcal arthritis, unspecified shoulder
  M00221  Other streptococcal arthritis, right elbow
  M00222  Other streptococcal arthritis, left elbow
  M00229  Other streptococcal arthritis, unspecified elbow
  M00231  Other streptococcal arthritis, right wrist
  M00232  Other streptococcal arthritis, left wrist
  M00239  Other streptococcal arthritis, unspecified wrist
  M00241  Other streptococcal arthritis, right hand
  M00242  Other streptococcal arthritis, left hand
  M00249  Other streptococcal arthritis, unspecified hand
  M00251  Other streptococcal arthritis, right hip
  M00252  Other streptococcal arthritis, left hip
  M00259  Other streptococcal arthritis, unspecified hip
  M00261  Other streptococcal arthritis, right knee
  M00262  Other streptococcal arthritis, left knee
  M00269  Other streptococcal arthritis, unspecified knee
  M00271  Other streptococcal arthritis, right ankle and foot
  M00272  Other streptococcal arthritis, left ankle and foot
  M00279  Other streptococcal arthritis, unspecified ankle and foot
  M0028   Other streptococcal arthritis, vertebrae
  M0029   Other streptococcal polyarthritis
  M0080   Arthritis due to other bacteria, unspecified joint
  M00811  Arthritis due to other bacteria, right shoulder
  M00812  Arthritis due to other bacteria, left shoulder
  M00819  Arthritis due to other bacteria, unspecified shoulder
  M00821  Arthritis due to other bacteria, right elbow
  M00822  Arthritis due to other bacteria, left elbow
  M00829  Arthritis due to other bacteria, unspecified elbow
  M00831  Arthritis due to other bacteria, right wrist
  M00832  Arthritis due to other bacteria, left wrist
  M00839  Arthritis due to other bacteria, unspecified wrist
  M00841  Arthritis due to other bacteria, right hand
  M00842  Arthritis due to other bacteria, left hand
  M00849  Arthritis due to other bacteria, unspecified hand
  M00851  Arthritis due to other bacteria, right hip
  M00852  Arthritis due to other bacteria, left hip
  M00859  Arthritis due to other bacteria, unspecified hip
  M00861  Arthritis due to other bacteria, right knee
  M00862  Arthritis due to other bacteria, left knee
  M00869  Arthritis due to other bacteria, unspecified knee
  M00871  Arthritis due to other bacteria, right ankle and foot
  M00872  Arthritis due to other bacteria, left ankle and foot
  M00879  Arthritis due to other bacteria, unspecified ankle and foot
  M0088   Arthritis due to other bacteria, vertebrae
  M0089   Polyarthritis due to other bacteria
  M009    Pyogenic arthritis, unspecified
  M01X0   Direct infection of unspecified joint in infectious and parasitic diseases classified elsewhere
  M01X11  Direct infection of right shoulder in infectious and parasitic diseases classified elsewhere
  M01X12  Direct infection of left shoulder in infectious and parasitic diseases classified elsewhere
  M01X19  Direct infection of unspecified shoulder in infectious and parasitic diseases classified elsewhere
  M01X21  Direct infection of right elbow in infectious and parasitic diseases classified elsewhere
  M01X22  Direct infection of left elbow in infectious and parasitic diseases classified elsewhere
  M01X29  Direct infection of unspecified elbow in infectious and parasitic diseases classified elsewhere
  M01X31  Direct infection of right wrist in infectious and parasitic diseases classified elsewhere
  M01X32  Direct infection of left wrist in infectious and parasitic diseases classified elsewhere
  M01X39  Direct infection of unspecified wrist in infectious and parasitic diseases classified elsewhere
  M01X41  Direct infection of right hand in infectious and parasitic diseases classified elsewhere
  M01X42  Direct infection of left hand in infectious and parasitic diseases classified elsewhere
  M01X49  Direct infection of unspecified hand in infectious and parasitic diseases classified elsewhere
  M01X51  Direct infection of right hip in infectious and parasitic diseases classified elsewhere
  M01X52  Direct infection of left hip in infectious and parasitic diseases classified elsewhere
  M01X59  Direct infection of unspecified hip in infectious and parasitic diseases classified elsewhere
  M01X61  Direct infection of right knee in infectious and parasitic diseases classified elsewhere
  M01X62  Direct infection of left knee in infectious and parasitic diseases classified elsewhere
  M01X69  Direct infection of unspecified knee in infectious and parasitic diseases classified elsewhere
  M01X71  Direct infection of right ankle and foot in infectious and parasitic diseases classified elsewhere
  M01X72  Direct infection of left ankle and foot in infectious and parasitic diseases classified elsewhere
  M01X79  Direct infection of unspecified ankle and foot in infectious and parasitic diseases classified elsewhere
  M01X8   Direct infection of vertebrae in infectious and parasitic diseases classified elsewhere
  M01X9   Direct infection of multiple joints in infectious and parasitic diseases classified elsewhere
  M0200   Arthropathy following intestinal bypass, unspecified site
