:======================================================================:
|    MDC 12 Diseases and Disorders of the Male Reproductive System     |
:======================================================================:

MDC 12 Assignment of Diagnosis Codes

  A1814   Tuberculosis of prostate
  A1815   Tuberculosis of other male genital organs
  A510    Primary genital syphilis
  A5400   Gonococcal infection of lower genitourinary tract, unspecified
  A5409   Other gonococcal infection of lower genitourinary tract
  A541    Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess
  A5421   Gonococcal infection of kidney and ureter
  A5422   Gonococcal prostatitis
  A5423   Gonococcal infection of other male genital organs
  A5429   Other gonococcal genitourinary infections
  A55     Chlamydial lymphogranuloma (venereum)
  A5600   Chlamydial infection of lower genitourinary tract, unspecified
  A5601   Chlamydial cystitis and urethritis
  A5609   Other chlamydial infection of lower genitourinary tract
  A562    Chlamydial infection of genitourinary tract, unspecified
  A568    Sexually transmitted chlamydial infection of other sites
  A57     Chancroid
  A58     Granuloma inguinale
  A5900   Urogenital trichomoniasis, unspecified
  A5902   Trichomonal prostatitis
  A5903   Trichomonal cystitis and urethritis
  A5909   Other urogenital trichomoniasis
  A6000   Herpesviral infection of urogenital system, unspecified
  A6001   Herpesviral infection of penis
  A6002   Herpesviral infection of other male genital organs
  A6009   Herpesviral infection of other urogenital tract
  A601    Herpesviral infection of perianal skin and rectum
  A609    Anogenital herpesviral infection, unspecified
  A638    Other specified predominantly sexually transmitted diseases
  A64     Unspecified sexually transmitted disease
  B260    Mumps orchitis
  B3741   Candidal cystitis and urethritis
  B3742   Candidal balanitis
  B3749   Other urogenital candidiasis
  C600    Malignant neoplasm of prepuce
  C601    Malignant neoplasm of glans penis
  C602    Malignant neoplasm of body of penis
  C608    Malignant neoplasm of overlapping sites of penis
  C609    Malignant neoplasm of penis, unspecified
  C61     Malignant neoplasm of prostate
  C6200   Malignant neoplasm of unspecified undescended testis
  C6201   Malignant neoplasm of undescended right testis
  C6202   Malignant neoplasm of undescended left testis
  C6210   Malignant neoplasm of unspecified descended testis
  C6211   Malignant neoplasm of descended right testis
  C6212   Malignant neoplasm of descended left testis
  C6290   Malignant neoplasm of unspecified testis, unspecified whether descended or undescended
  C6291   Malignant neoplasm of right testis, unspecified whether descended or undescended
  C6292   Malignant neoplasm of left testis, unspecified whether descended or undescended
  C6300   Malignant neoplasm of unspecified epididymis
  C6301   Malignant neoplasm of right epididymis
  C6302   Malignant neoplasm of left epididymis
  C6310   Malignant neoplasm of unspecified spermatic cord
  C6311   Malignant neoplasm of right spermatic cord
  C6312   Malignant neoplasm of left spermatic cord
  C632    Malignant neoplasm of scrotum
  C637    Malignant neoplasm of other specified male genital organs
  C638    Malignant neoplasm of overlapping sites of male genital organs
  C639    Malignant neoplasm of male genital organ, unspecified
  C763    Malignant neoplasm of pelvis
  C7982   Secondary malignant neoplasm of genital organs
  D074    Carcinoma in situ of penis
  D075    Carcinoma in situ of prostate
  D0760   Carcinoma in situ of unspecified male genital organs
  D0761   Carcinoma in situ of scrotum
  D0769   Carcinoma in situ of other male genital organs
  D176    Benign lipomatous neoplasm of spermatic cord
  D290    Benign neoplasm of penis
  D291    Benign neoplasm of prostate
  D2920   Benign neoplasm of unspecified testis
